split,classifier,accuracy,f1,precision,recall,training_time
10,SVM,0.8654173764906303,0.8649931083834034,0.8660832889907134,0.8654173764906303,0.13067269325256348
10,NB,0.7853492333901193,0.7843812195272616,0.7881650154074419,0.7853492333901193,0.004675626754760742
10,NN,0.889267461669506,0.8895714187629435,0.8909230075194022,0.889267461669506,0.30028605461120605
10,LR,0.9148211243611585,0.9147444494321872,0.9156881360500525,0.9148211243611585,0.06202554702758789
10,RF,0.8517887563884157,0.8500510385638097,0.8533688865654367,0.8517887563884157,0.33863353729248047
11,kNN,0.42589437819420783,0.4220316896621105,0.449041757260758,0.42589437819420783,0.00047707557678222656
11,SVM,0.8313458262350937,0.833000914709671,0.8380415722834803,0.8313458262350937,0.12763047218322754
11,NB,0.7802385008517888,0.7798549518964668,0.7805857345540813,0.7802385008517888,0.004509687423706055
11,NN,0.879045996592845,0.8787453469381376,0.8786983277126865,0.879045996592845,0.31857919692993164
11,LR,0.9011925042589438,0.9012643758744104,0.9016332125755956,0.9011925042589438,0.047631025314331055
11,RF,0.8551959114139693,0.8551234048973376,0.8573980850201379,0.8551959114139693,0.4435420036315918
12,kNN,0.4940374787052811,0.49696832509530176,0.5251673644447994,0.4940374787052811,0.0006873607635498047
12,SVM,0.8551959114139693,0.8555016470972792,0.8563045643435907,0.8551959114139693,0.17340898513793945
12,NB,0.7955706984667802,0.7942359274156047,0.793896975141221,0.7955706984667802,0.0018808841705322266
12,NN,0.8620102214650767,0.8625201886120727,0.8635346690158493,0.8620102214650767,0.448589563369751
12,LR,0.9114139693356048,0.9112247967283177,0.9111073852107822,0.9114139693356048,0.058510780334472656
12,RF,0.8620102214650767,0.860045513767834,0.8610159094221124,0.8620102214650767,0.3288307189941406
13,kNN,0.4906303236797274,0.49012666817933126,0.5041828042141266,0.4906303236797274,0.001226186752319336
13,SVM,0.848381601362862,0.8490654798819839,0.8503812858348454,0.848381601362862,0.12833905220031738
13,NB,0.778534923339012,0.7803092776953043,0.7832243351655169,0.778534923339012,0.004477977752685547
13,NN,0.8620102214650767,0.8625128126289116,0.8634574184571162,0.8620102214650767,0.5242154598236084
13,LR,0.8841567291311755,0.8842336989669275,0.8844639044076814,0.8841567291311755,0.041365861892700195
13,RF,0.8466780238500852,0.8474800497036945,0.8487167792365725,0.8466780238500852,0.3399810791015625
14,kNN,0.4889267461669506,0.48812191958331624,0.4949460692762752,0.4889267461669506,0.00042510032653808594
14,SVM,0.8449744463373083,0.8456894634839893,0.8471628858662829,0.8449744463373083,0.13624835014343262
14,NB,0.7853492333901193,0.7873604033857576,0.7900209347466788,0.7853492333901193,0.0025010108947753906
14,NN,0.8705281090289608,0.8704360093029536,0.8703748379764474,0.8705281090289608,0.5751502513885498
14,LR,0.9063032367972743,0.906225516736848,0.9061986424619232,0.9063032367972743,0.08592367172241211
14,RF,0.8500851788756388,0.8495315543058332,0.8492742507577955,0.8500851788756388,0.3307802677154541
15,kNN,0.4855195911413969,0.4809914715911705,0.4878446595210451,0.4855195911413969,0.00047969818115234375
